1st_label,3rd_label,2nd_label
,台湾,地区：
,美食,类型：
,时政资讯,类型：
,法制,类型：
,健身,类型：
,跑步,类型：
,台湾,地区：
,加拿大,地区：
,神话,类型：
,印度,地区：
,计算机,类型：
,其他地区,类型：
,记录,类型：
,舞曲,风格：
,GPS,类型：
,游轮岛屿,类型：
,香港,地区：
,韩国,地区：
,旅游,类型：
,仅节目,筛选：
,广场舞,类型：
,综合,类型：
,澳大利亚,地区：
,科幻,类型：
,俄罗斯,地区：
,哲学,类型：
,职业培训,类型：
,宝马,类型：
,生活达人,类型：
,电子,风格：
,R&B,风格：
,游戏机,类型：
,人文景点,类型：
,英国,地区：
,法国,地区：
,汽车,类型：
,,筛选：
,棋牌,类型：
,电竞,类型：
,德国,地区：
,悬疑,类型：
,泰国,地区：
,其他,地区：
,家庭教育,类型：
,,出品：
,通用,类型：
,HIP-HOP,风格：
,乡村,风格：
,App,类型：
,自然景点,类型：
,,类型：
,热血,类型：
,访谈,类型：
,纪实,类型：
,,时间：
,2017,时间：
,韩国,地区：
,俄罗斯,地区：
,瑞士,地区：
,历史,类型：
,儿童,类型：
,,类型：
,TED,出品：
,丰田,类型：
,民族,风格：
,民谣,风格：
,平板,类型：
,节庆活动,类型：
,户外运动,类型：
,攻略指南,类型：
,格斗,类型：
,搞笑,类型：
,2016,时间：
,2015,时间：
,西班牙,地区：
,丹麦,地区：
,农村,类型：
,武侠,类型：
,警匪,类型：
,犯罪,类型：
,泰学传媒,出品：
,耶鲁大学,出品：
,福特,类型：
,大众,类型：
,拉丁,风格：
,爵士,风格：
,科技达人,类型：
,旅游达人,类型：
,恋爱,类型：
,美少女,类型：
,时尚,类型：
,2014,时间：
,2013,时间：
,墨西哥,地区：
,都市,类型：
,家庭,类型：
,科幻,类型：
,哈佛大学,出品：
,戴姆勒-克莱斯勒,类型：
,雷鬼,风格：
,新世纪,风格：
,校园,类型：
,晚会,类型：
,理财,类型：
,2012,时间：
,新加坡,地区：
,印度,地区：
,搞笑,类型：
,战争,类型：
,斯坦福大学,出品：
,现代-起亚,类型：
,日产,类型：
,标致-雪铁龙,类型：
,古典,风格：
,音乐剧,风格：
,搞笑,类型：
,演唱会,类型：
,曲艺,类型：
,2011,时间：
,2010,时间：
,以色列,地区：
,其他,地区：
,偶像,类型：
,言情,类型：
,恐怖,类型：
,惊悚,类型：
,纪录片,类型：
,麻省理工学院,出品：
,本田,类型：
,雷诺,类型：
,轻音乐,风格：
,LOLI,类型：
,神魔,类型：
,益智,类型：
,音乐,类型：
,00年代,时间：
,90年代,时间：
,,类型：
,人物,类型：
,时装,类型：
,优酷出品,类型：
,西部,类型：
,戏曲,类型：
,Udacity,出品：
,中学网上课堂,出品：
,养车,类型：
,修车,类型：
,改装,类型：
,,类型：
,音乐MV,类型：
,机战,类型：
,科幻,类型：
,真人,类型：
,舞蹈,类型：
,80年代,时间：
,70年代,时间：
,军事,类型：
,,时间：
,2017,时间：
,歌舞,类型：
,,筛选：
,装饰,类型：
,赛车,类型：
,现场版,类型：
,青春,类型：
,魔法,类型：
,体育娱乐,类型：
,游戏,类型：
,更早,时间：
,历史,类型：
,自然,类型：
,2016,时间：
,2015,时间：
,奇幻,类型：
,冒险,类型：
,仅视频,筛选：
,二手车,类型：
,名车,类型：
,车女郎,类型：
,演唱会,类型：
,电影原声,类型：
,神话,类型：
,生活,类型：
,,时间：
,,状态：
,全集,状态：
,古迹,类型：
,2014,时间：
,2013,时间：
,2012,时间：
,悬疑,类型：
,历史,类型：
,,付费：
,免费,付费：
,车广告,类型：
,学车,类型：
,电视剧原声,类型：
,动漫音乐,类型：
,冒险,类型：
,运动,类型：
,2017,时间：
,2016,时间：
,2015,时间：
,更新中,状态：
,优酷将映,状态：
,探险,类型：
,科技,类型：
,2011,时间：
,2010,时间：
,动作,类型：
,传记,类型：
,付费,付费：
,点播,付费：
,飙车,类型：
,车友会,类型：
,游戏音乐,类型：
,竞技,类型：
,2014,时间：
,2013,时间：
,,筛选：
,仅视频,筛选：
,文化,类型：
,00年代,时间：
,90年代,时间：
,动画,类型：
,包月,付费：
,摩托车,类型：
,F1,类型：
,广告音乐,类型：
,童话,类型：
,2012,时间：
,2011,时间：
,2010,时间：
,刑侦,类型：
,社会,类型：
,80年代,时间：
,70年代,时间：
,儿童,类型：
,喜剧,类型：
,,语言：
,普通话,语言：
,亲子,类型：
,00年代,时间：
,90年代,时间：
,旅游,类型：
,,出品：
,更早,时间：
,,状态：
,爱情,类型：
,剧情,类型：
,粤语,语言：
,台语,语言：
,教育,类型：
,励志,类型：
,剧情,类型：
,80年代,时间：
,优酷,出品：
,Discovery,出品：
,全集,状态：
,更新中,状态：
,运动,类型：
,日语,语言：
,韩语,语言：
,英语,语言：
,社会,类型：
,历史,类型：
,70年代,时间：
,BBC,出品：
,仅预告,状态：
,短片,类型：
,优酷出品,类型：
,法语,语言：
,德语,语言：
,战争,类型：
,更早,时间：
,美国国家地理,出品：
,美国历史频道,出品：
,优酷将映,状态：
,,时间：
,2017,时间：
,意大利语,语言：
,西班牙语,语言：
,,时间：
,,状态：
,北京电视台,出品：
,上海纪实频道,出品：
,五星传奇,出品：
,,付费：
,免费,付费：
,2016,时间：
,2015,时间：
,俄语,语言：
,其他,语言：
,2017,时间：
,2016,时间：
,全集,状态：
,更新中,状态：
,IMG,出品：
,付费,付费：
,点播,付费：
,2014,时间：
,2013,时间：
,,发行：
,2015,时间：
,优酷将映,状态：
,,筛选：
,仅视频,筛选：
,包月,付费：
,2012,时间：
,2011,时间：
,2010,时间：
,2017,发行：
,2016,发行：
,2014,时间：
,,付费：
,,付费：
,免费,付费：
,00年代,时间：
,90年代,时间：
,2015,发行：
,2014,发行：
,2013,时间：
,免费,付费：
,付费,付费：
,付费,付费：
,80年代,时间：
,2013,发行：
,2012,发行：
,2012,时间：
,点播,付费：
,包月,付费：
,点播,付费：
,包月,付费：
,70年代,时间：
,更早,时间：
,2011,发行：
,2010,发行：
,2011,时间：
,,热门：
,战事风云,热门：
,,状态：
,全集,状态：
,00年代,发行：
,90年代,发行：
,2010,时间：
,野生动物,热门：
,刑侦探案,热门：
,仅预告,状态：
,80年代,发行：
,00年代,时间：
,90年代,时间：
,名人纪实,热门：
,勇者探险,热门：
,优酷将映,状态：
,70年代,发行：
,80年代,时间：
,70年代,时间：
,科技解密,热门：
,,付费：
,更早,发行：
,,筛选：
,更早,时间：
,古代文明,热门：
,免费,付费：
,付费,付费：
,仅视频,筛选：
,,状态：
,电影传奇,热门：
,点播,付费：
,全集,状态：
,更新中,状态：
,中国历史,热门：
,文物古迹,热门：
,包月,付费：
,优酷将映,状态：
,,年龄：
,0到3岁,年龄：
,4到6岁,年龄：
,7到10岁,年龄：
,11到15岁,年龄：
,16岁以上,年龄：
,,付费：
,免费,付费：
,付费,付费：
,点播,付费：
,包月,付费：
